3 D моделиров факультатив;3 D модел фак
практическая электроника;практ эл-ка
Преддипломная практика;Преддипл практ
Приводы технологического оборудования;Приводы ТО
Прикладная информатика;Прикл информ
Прикладная фотография;Прикл фото
Прикладное программное обепечение;Прикл.ПО
Прикладное програмное обеспечение;Прикладное по
Программирование микроконтроллеров для мобильных систем;Пр микконтр МС
Программное обеспечение и программирование автомотизированного оборудования;ПО и програм АО
Программные средства создания internet приложений;ПСС internet
Проектирование микроэлектронных устройств;Проект МУ
Производственная практика;Произв практ
Производственное обучение;ПО
Промышленная электроника и микроэлектроника;Пром электр
Промышленные контроллеры;Пром контрол
Психология и этика деловых отношений;Психология
Развитие слуха и речи;Разв слух
Разработка приложений для мобильных устройств;Раз прил для МУ
Расчет и проектирование микроэлектронных устройств;Рас и проек МЭУ
Рисунок с основами пластической анатомии;Рис с основ ПА
Русская литература;Рус Лит
Русский язык;Рус Яз
Русский язык (профлексика);Рус Язык (проф)
Сборка и тестирование программ для мобильных систем;Сбор и тест МС
Секретарское дело;Секретарск дело
Система автоматического управления электроприводами;Сис авт эл.прив
Система электронного документаоборота;Сис-ма ЭД
Системное программирование;Системное прогр
Системное программное обеспечение;Системное ПО
Системы автоматизированного проектирования;Сис авт проект
Системы автоматического управления;Системы автомат
Системы электронного документооборота;Эл.докум
Слесарная практика;Слесарная практ
Слесарно-механическая практика;Слес-мех практ
СМГ;СМГ
Современные языки программирования Java;Совр. язык Java
Современные языки программирования JavaScript;JavaScript
Современные языки программирования Xamarin;Xamarin
Социальное ориентирование;Соц ориент
Специальная технология;Спец тех
Специальная химия;Спец химия
Специальное оборудование;Спец оборуд
Специальный рисунок;Спец рис
Стандартизация и качество продукции;Станд кач прод
Стандартизация и нормирование точности;Стандарт и норм
Стандартизация и сертификация;Стандартизация
Стандартизация и сертификация программного обеспечения;ССПО
Стилистика деловой речи и редоктирование служебных документов на белорусском языке;Стил бел. яз.
Стилистика деловой речи и редоктирование служебных документов на русском языке;Стил рус. яз.
Структуры и алгоритмы обработки данных;Стр и алгор обр
Структуры и базы данных;Структуры и БД
Теоретические основы электротехники;ТОЭ
Теория вероятностей и математическая статистика;Теория вероятн
Тестирование и отладка ПО;Тест и отлад ПО
Тестирование программного обеспечения;Тест ПО
Техники коммуникации и основы командообразования;Техн коммун
Техническая диагностика, обслуживание и ремонт МС;Тех диагн
Техническая эксплуатация электроустановок потребителей;Тех эксплуат
Технические средства автоматизации и СУО;ТСА и СУО
Технические средства управления;ТСУ
Техническое обслуживание и ремонт эл.;Тех.обслуж.
Техническое обслуживание и эксплуатация лифтов;ТО и экспл лифт
Технологическая практика;Техн практика
Технологические маршруты изготовления структур;Техн марш ИС
Технология и оборудование ЛП;Техн и обор ЛП
Технология и оборудование производства полупроводниковых пластин;Тех оборуд ППП
Технология и оборудование сборки и монтажа ИМС;Тех и обор сбор
Технология и оборудование термических ВЭ и ПХ процессов;Тех и обо ВЭиПХ
Технология производства микроэлектронных устройств;Техн пр МЭУ
Технология разработки ПО;Тех разр ПО
